123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream', Res: 'Уже существует запущенный процесс регистрации видеоисточника', 'Duration: '0.000045609''
media-server            | 2024-11-02T06:12:58.974310Z DEBUG media_server::server_task: 299: Удален процесс регистрации для 9451284b-149c-4c67-a4bf-8bd0b9244b2e
media-server            | 2024-11-02T06:12:58.974345Z DEBUG media_server::server_task: 551: Завершена обработка запроса на регистрацию видеоисточника: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream', Res: 'Не удалось запустить pipeline в автоматическом режиме выбора транспорта: '["transport: 'Udp', err: 'pipeline не запущен: 'вышел timeout: startup_timeout: '15 сек'''", "transport: 'Tcp', err: 'pipeline не запущен: 'вышел timeout: startup_timeout: '15 сек'''"]'', 'Duration: '30.012592649''
media-server            | 2024-11-02T06:13:02.263814Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:02.263915Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:02.264443Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:02.264459Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:02.264488Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:07.263915Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:07.264048Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:07.264471Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:07.264493Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:07.264528Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:08.971174Z DEBUG media_server::server_task: 237: Пришел запрос на регистрацию видеоисточника: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream', 'Protocol: 'None''
media-server            | 2024-11-02T06:13:08.971216Z  INFO media_server::server_task: 341: Обработка создания нового pipeline: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream'
media-server            | 2024-11-02T06:13:10.166456Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:10.166484Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:10.167719Z DEBUG hyper::proto::h1::io: 320: flushed 95069 bytes
media-server            | 2024-11-02T06:13:12.263225Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:12.263338Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:12.263740Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:12.263759Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:12.263789Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:17.263715Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:17.263823Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:17.264209Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:17.264219Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:17.264240Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:22.263575Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:22.263687Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:22.264078Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:22.264098Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:22.264126Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:25.166902Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:25.166933Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:25.168283Z DEBUG hyper::proto::h1::io: 320: flushed 95069 bytes
media-server            | 2024-11-02T06:13:27.263717Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:27.263822Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:27.264298Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
media-server            | 2024-11-02T06:13:27.264321Z DEBUG hyper::proto::h1::conn: 222: incoming body is empty
media-server            | 2024-11-02T06:13:27.264354Z DEBUG hyper::client::pool: 376: pooling idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:28.973489Z DEBUG media_server::server_task: 237: Пришел запрос на регистрацию видеоисточника: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream', 'Protocol: 'None''
media-server            | 2024-11-02T06:13:28.973516Z  WARN media_server::server_task: 248: Отброшен запрос на регистрацию видеоисточника, так как уже существует запущенный процесс регистрации: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream'
media-server            | 2024-11-02T06:13:28.973533Z DEBUG media_server::server_task: 551: Завершена обработка запроса на регистрацию видеоисточника: 'Uuid: '9451284b-149c-4c67-a4bf-8bd0b9244b2e', Interfaces: '[192.168.202.9, 172.18.18.123, 172.16.16.124, 10.201.0.1, 10.202.0.1, 10.200.0.1]', Url: 'rtsp://0.0.0.0:40895/rtsp_stream', Res: 'Уже существует запущенный процесс регистрации видеоисточника', 'Duration: '0.000039541''
media-server            | 2024-11-02T06:13:32.263868Z DEBUG hyper::client::pool: 250: reuse idle connection for ("http", 192.168.202.10:10500)
media-server            | 2024-11-02T06:13:32.263969Z DEBUG hyper::proto::h1::io: 320: flushed 193 bytes
media-server            | 2024-11-02T06:13:32.264357Z DEBUG hyper::proto::h1::io: 207: parsed 2 headers
